domain,context,response,act,speaker
hotel,"Agent: I will book that for you now. <SEP> User: Please do so. <SEP> Agent: Ok, I was able to make a booking. Your reference number is XVPDCMK9",thank you that is all I need goodbye,general-bye,0
hotel,Agent: there are 13 places to stay in the north side of town. Do you have a price range? <SEP> User: no. give me recommendation. <SEP> Agent: acorn guest house is a great location.,Is it expensive with free wifi?,Hotel-Inform,0
hotel,"User: I would like it to be a guesthouse. <SEP> Agent: The allenbell is a guesthouse in the east in the cheap price range and it has a 4 star rating. Would you like to reserve a room? <SEP> User: Yes, I would like to book for 8 people for 4 nights starting Tuesday.",I will book that for you now.,Booking-Inform,1
hotel,"User: Yes i would like something in the same pricerange. <SEP> Agent: Nothing else is available on the cheap side. Something else perhaps? I am sorry. <SEP> User: You can change any other criteria, but the price range should be the same as the city centre north b and b. Please try again.",Booking was successful at worth house. Reference number is : E2KQ4G5L .,Booking-Book,1
hotel,"Agent: I have 3 hotels that meet your criteria, 2 are in the west and one is in the centre. Do you have a preference? <SEP> User: The hotel should have a star of 4 and should include free parking. <SEP> Agent: University Arms hotel has 4 starts and free parking. Would you like me to book it for you?","yes, please. 8 people for 2 nights starting on saturday.",Hotel-Inform,0
hotel,"User: I'm looking for a cheap hotel. <SEP> Agent: alexander bed and breakfast is a guesthouse east of Cambridge center that is cheap, would you like more information?",Does it have a star of 4. I don't care if it has free parking.,Hotel-Inform,0
hotel,"User: I do not care about the star. I do need it to be open for 5 nights from Saturday. Eight people. <SEP> Agent: I'd recommend the avalon. It's a 4 star moderately priced hotel. Does that work for you? <SEP> User: Thanks for the recommendation. Yes, that will work for me and my party. May I please get a reference number?",You have a reservation at the Avalon for 5 nights from Saturday for 8 people. Your reference number is 1NWU0HDV .,Booking-Book,1
hotel,"User: That sounds fine. Do they have internet access? <SEP> Agent: Yes, they do. Would you like to book a reservation? <SEP> User: Not right now. In fact, that's all the info I needed. Thanks for your help!","Sure, I'm happy to help.",general-welcome,1
hotel,"Agent: Do you care whether it is in the same area or not? <SEP> User: No, the area is not important. Just the same price range, if you can find anything. <SEP> Agent: I have you booked at Hamilton Lodge. The reference number is TGSVA9OC . Is there anything else I can help you with?","No, that's all I needed. Have a nice day.",general-bye,0
hotel,"Agent: There are no other options in the expensive range, would you like me to try something else? <SEP> User: Is there another expensive place to stay? <SEP> Agent: I was able to book University Arms Hotel, reference number is VOF0UGNG .","Thank you, that's what I needed.",general-thank,0
hotel,"User: Yes, I'd like to book three nights, for three people, at the Worth House hotel. <SEP> Agent: What day will you be checking in?",I would be arriving Sunday.,Hotel-Inform,0
hotel,User: I want to find a place to stay in the north with free parking. <SEP> Agent: I have several hotels in the north that offer free parking. Do you have a preferred price range so that I can narrow it down for you a bit?,"Yes, I would prefer a moderate price range.",Hotel-Inform,0
hotel,User: I am looking for a guesthouse that has free parking.,What price range are you looking for?,Hotel-Request,1
hotel,User: Something cheap would be more within my budget. What do you have available? <SEP> Agent: There are 9 guesthouses and 1 hotel that fall in that price range. Is there a particular part of town that you'd like to stay in? <SEP> User: I don't care about the area. Just pick one for Monday.,How long do you intend to stay?,Booking-Request,1
hotel,Agent: There is the Finches Bed and Breakfast would keep you on the same side of town but it is a guesthouse. Will this work for you? <SEP> User: Yep. I think that will work. Please book it. I need a reference number. <SEP> Agent: The finches bed and breakfast was available. 4 nights starting from Monday for 5 people. Your reference number is 6VBU1SFI . Would that work for you?,Yes. Thanks so much. That is great.,general-thank,0
hotel,"Agent: Sure, we have two guesthouses that fit, the 4 star alexander bed and breakfast and the unrated el shaddai. Would you like to book a room at one? <SEP> User: Do either of those include free parking? <SEP> Agent: Yes, they both include free parking.","Then book one, doesn't matter which. Eight people, two nights, starting Wednesday.",Hotel-Inform,0
hotel,"User: Thanks! Can you book a room for 5 people please? We'll be arriving on Monday and staying 5 nights. <SEP> Agent: I have that room booked for you. The reference number is RNC1KZBT . Is there anything else I can help with today? <SEP> User: No, that will be all. Thank you!",Enjoy your stay!,general-bye,1
hotel,Agent: Certainly I have the Lensfield Hotel and it is considered expensive. Shall I book that for you? <SEP> User: Can you tell me what type of accommodation this is? <SEP> Agent: The type of hotel is a regular hotel that is rated 3 stars and has both free parking and internet connectivity amenities. Could I help you with booking?,Yes please. I need to book a room for three days starting on tuesday.,Hotel-Inform,0
hotel,User: Actually my wife says it's better to book it. Can you reserve it for 4 people for 4 nights starting from monday? <SEP> Agent: The hotel is booked and the reference number is H3MWAYDX . Your wife can sleep calm now. <SEP> User: fantastic! have a good day I will let you know!,"enjoy your stay, bye!",general-bye,1
hotel,User: I'm looking for a 2 star hotel in the north.,I have two hotels meeting your criteria. Ashely Hotel located at 74 Chesterton road and Lovell Lodge located at 365 Milton road.,Hotel-Inform,1
hotel,"Agent: I have discovered 9 choices fitting your description. May I recommend the Archway House? It's on Gilbert Road. <SEP> User: Sounds great, Thank you. <SEP> Agent: You're welcome. Would you like me to make a reservation in your name?",Yes please make a reservation in my name. Thank you.,general-thank,0
hotel,"User: Thank you, I just want to confirm that this hotel includes free parking and wifi <SEP> Agent: Yes it includes both. <SEP> User: Thanks, that will be all. good bye.",Enjoy your stay. Goodbye!,general-bye,1
hotel,"Agent: I have 2. City centre north b and b in the north and the el shaddai in the centre. Which one would you prefer? <SEP> User: the el shaddai in the centre <SEP> Agent: Ok no problem, when would you like the room booked for?",I need it for four people and four nights starting Monday.,Hotel-Inform,0
hotel,Agent: There are several. Do you have a preference for area? <SEP> User: Area doesn't matter but I need to know if they have free parking <SEP> Agent: I have discovered 9 choices fitting your description. May I recommend the Archway House? It's on Gilbert Road.,"Sounds great, Thank you.",general-thank,0
hotel,"User: Yeas please, one in the same price range please. <SEP> Agent: I only have the Belfry in that star and price range. Would you like to try another combination of stars and price ranges? <SEP> User: How about three stars?",There are none found.,Hotel-NoOffer,1
hotel,Agent: The postcode is cb41er. Can I help you with anything else? <SEP> User: What part of town is the Ashley located? <SEP> Agent: They are located in the north.,"Perfect, thank you. That is all I need. Bye.",general-bye,0
hotel,"User: How about changing that to a 4 star rating? <SEP> Agent: That we have! Do you have a preference on the area? <SEP> User: No preferences on the area, but I want to book it for 1 person for 5 nights starting from wednesday.",How does the Alexander bed and breakfast in the centre sound?,Hotel-Select,1
hotel,User: Yes please. I need to book a room for three days starting on tuesday. <SEP> Agent: How many people am I making the reservation for? <SEP> User: Make a reservation for one.,"Just to verify, you wanted a room at the Lensfield Hotel for Tuesday with one guest and a 3 night stay? Is that correct?",Booking-Inform,1
hotel,"User: It does not need to be a guesthouse. Can't you find anything that is east, 4 star with free wifi. That is all I require. Please, its important. <SEP> Agent: I have the carolina bed and breakfast or warkworth house. Would you like me to try one of those? <SEP> User: Yes, one of those will be fine.",Your booking at carolina bed and breakfast was successful. Your reference number is PGLREGJ8 .,Booking-Book,1
hotel,"Agent: City Centre North B and B is just what you're looking for. It's a guesthouse with free wifi and parking at 328a histon road cb43ht. Would you like to book? <SEP> User: One more thing, I'd also like the price range please. <SEP> Agent: Sure, it's a cheap hotel.",Thank you. I think that's all I need today.,general-thank,0
hotel,"User: Yes, five people four nights, starting from Monday on. <SEP> Agent: That wasn't available but I booked you at the Bridge Guest House. It has everything you were looking for. The reference number is 1AMM7M53 . <SEP> User: Thank you, that is all.",Okay enjoy your stay.,general-bye,1
hotel,"Agent: I'm sorry, I wasn't able to find anything that matches your criteria. Do you have any other preferences? <SEP> User: What about a 4-star place? <SEP> Agent: I have several places that meet your criteria. Do you have an area you are interested in?",It doesn't matter as long as it is a 4 star guesthouse with free wifi. I will want to book it from monday.,Hotel-Inform,0
hotel,"Agent: There are several guesthouses that meet your criteria. Is there a particular part of town you wish to stay? <SEP> User: No, but I am trying to find rooms for a party of 8 for 2 nights. Could you see who has room for us? <SEP> Agent: Would you like to try the Alexander Bed and Breakfast first?","Yes, that would be fine.",Hotel-Inform,0
hotel,"User: Hi, can you help me find a place to stay? Something moderately priced with free wifi. <SEP> Agent: I have 17 guesthouses and hotels that fit your criteria, do you have a preference for area? <SEP> User: Not really, but I'm looking for something with 2 stars.",The ashley hotel and the lovell lodge are both in the north and are in the moderate price range with 2 stars.,Hotel-Inform,1
hotel,"Agent: How many nights? <SEP> User: I would like to stay for 3 nights. <SEP> Agent: OK, you're booked at the Ashley Hotel starting Monday, your reference number is IGAT23Z5 . Can I help you with anything else today?","No, that's all I need. Thank you.",general-thank,0
hotel,"User: Are there any guesthouses in the cheap price range? <SEP> Agent: There are nine cheap guesthouses, all in different areas. Any preference? <SEP> User: can you please tell me about the star of the hotel",Allenbell has a star rating of 4.,Hotel-Inform,1
hotel,"Agent: We have a number of 4 star guesthouses with free parking, but no hotels. <SEP> User: I think that should be fine. Can I book one for Wednesday for 4 nights? There will be 4 of us. <SEP> Agent: There are 9 locations to choose from that meet your criteria. They're in various parts of the city. Would you prefer to stay in the north, south, or east?",It doesn't matter to me.,Hotel-Inform,0
hotel,"User: Howdy, I'm looking for a place to stay. I don't care about internet. <SEP> Agent: There are 33 hotels in Cambridge. What price range would you like, and what area?",I would like a cheap hotel in the north please.,Hotel-Inform,0
hotel,Agent: Acorn guest house has free parking and is moderately priced. Would you like more information? <SEP> User: Does it also have free wifi and does it have 2 stars? <SEP> Agent: No it doesn't. But the Ashley Hotel has 2 stars and free parking. It is a moderate also.,Is there somewhere with both free wifi and parking?,Hotel-Inform,0
hotel,Agent: Certainly! The Archway House is in the north area and has a moderate price range. <SEP> User: What's its address? <SEP> Agent: It's located at 52 Gilbert Road.,Thank you very much!,general-thank,0
hotel,"Agent: The price range at the Avalon is moderate. Do you have any more questions? <SEP> User: Yes, can you confirm if the Avalon has Internet, please? <SEP> Agent: Yes they does, but no free parking though.",Cool. Thanks I'm good now. Goodbye.,general-bye,0
hotel,"User: Guten Tag, I am staying overnight in Cambridge and need a place to sleep. I need free parking and internet. <SEP> Agent: I have 4 different options for you. I have two cheaper guesthouses and two expensive hotels. Do you have a preference?","No, but I'd really like to be on the south end of the city. Do any of those fit the bill?",Hotel-Inform,0
hotel,"Agent: We have quite a few like that. I could recommend Home From Home, a moderately priced guesthouse in the north. Or are there other factors that matter? <SEP> User: Just free wifi and free parking. Moderate priced and should be a guesthouse please. <SEP> Agent: If you tell me when you will be staying, how many people and for how many days, I can book you at he home from home?",There will be 5 of us staying for 2 nights. We would like to start on Sunday.,Hotel-Inform,0
hotel,User: Hi there. I'll be coming into the centre of town to visit relatives. Can you help me find a place to stay? <SEP> Agent: I can definitely help with that. I have about 5 different hotels and guesthouses that are in the centre of town. Do you prefer a hotel or guesthouse?,I'd like it to be expensive. 4 star rated.,Hotel-Inform,0
hotel,User: Well I would like something with 3 stars. I don't care about the internet. <SEP> Agent: bridge guest house has good reviews if you'd like that <SEP> User: That sounds interesting. Do they happen to have free wifi?,They do! Would you like to reserve a room?,Booking-Inform,1
hotel,"Agent: We have 11 guesthouses and 2 hotels in the north area. Do you need a certain price range? <SEP> User: I would like something in the moderate range. <SEP> Agent: home from home is moderately priced, has 4 stars, and has free internet and parking. Would you like to book?","Yes, eight people starting Thursday lasting for four nights.",Hotel-Inform,0
hotel,User: I am looking for a guesthouse to stay in that has free parking. <SEP> Agent: I have 21 guesthouses that fit that criteria. Is there a particular area of the city you would like to stay in?,No but can you find one in the moderate price range?,Hotel-Inform,0
hotel,Agent: The only cheap hotel I can find is Finches Bed and Breakfast. It is a guesthouse though. Will that be fine? <SEP> User: Yes please and I need the reference number <SEP> Agent: It is done. You're reference number is 143ZF1M5 . Can I help you with anything else?,No thank you that is all.,general-thank,0
hotel,"User: Yes, I would like to book it for 3 people and 3 nights starting from Wednesday. <SEP> Agent: I'm so sorry, but I was unable to book per your request. Would you like to try a shorter stay or a different date? <SEP> User: Well, are there any other hotels that I can stay at during this time. I really need these dates.",Sure. Do you want the same part of town?,Hotel-Request,1
hotel,User: I'm not concerned with the area - can you recommend a nice place that fits with what I'm looking for? <SEP> Agent: I think you would like the acorn guesthouse. Would you like me to book a room? <SEP> User: Yes I would like you to book it for me,What day would you like to stay on? And how many days? How many people?,Booking-Request,1
hotel,"User: As long as it is a hotel, I would like to book it. <SEP> Agent: How many nights and for how many people? <SEP> User: I would like it starting Thursday for 8 people for 5 nights.",I will need the day you want to arrive.,Booking-Request,1
hotel,"Agent: I am afraid I have nothing available with those specifications. Would you like a different are or a hotel? <SEP> User: Are there any moderately priced guesthouses in that part of town? <SEP> Agent: Yes, both the Carolina B&B and the Warkworth House are moderately priced guesthouses on the east side. Would you like a room at one of these?","Yes, could you see if either of them have availability starting on Tuesday for 5 nights for 5 people?",Hotel-Inform,0
hotel,"Agent: Yes, they offer both free wifi and free parking. Can I assist you in booking a room? <SEP> User: I actually would want something expensive (north side preferred) and free wifi and parking. <SEP> Agent: I have nothing in the north area meeting that search criteria, would you like me to check another area?","Yes. How about an expensive place in the centre of town, with both free wifi and parking?",Hotel-Inform,0
hotel,"User: I'll be arriving Saturday and staying 3 nights. There are 3 of us. <SEP> Agent: Unfortunately, we cannot book you for those days. Could you change the number of days? <SEP> User: Sure, try for two days?",That was unsuccessful too. Wanna try something else?,Booking-NoBook,1
hotel,"Agent: No I'm sorry, I don't. Is there another price range you would consider? <SEP> User: No, I need it to be moderately priced. Is there a hotel with free parking in the north? <SEP> Agent: I have 7 moderately priced guesthouses and 2 moderately priced hotels in the north, all with free parking.",Great! Id's like information on one of the hotels please.,Hotel-Inform,0
hotel,Agent: Unfortunately there are none on the north side of town that fit your criteria. Would you like me to look in another part of the city? <SEP> User: No thank you. <SEP> Agent: I have Ashley Hotel or Lovell Lodge on the North side of town. They both have free wifi and parking. Can I book one of those for you?,Do either of those have 4 star ratings?,Hotel-Inform,0
hotel,"Agent: No, I am sorry. B&Bs are not offered. <SEP> User: Oh dear well what about local guest houses instead? I need to book it for 6 people for 5 nights staring from Monday. <SEP> Agent: Great! Your reservation at Acorn Guest House is completed. Your reference number is FO3NH9Q6",I'm looking for a hotel called Rosa's Bed and Breakfast.,Hotel-Inform,0
hotel,"User: Hello! I need a place to bed down for the night that offers free parking and wifi. Can you help me? <SEP> Agent: Yes, I can help. Do you have a price range and part of town in mind?",I would like a moderate priced hotel in any part of town please.,Hotel-Inform,0
hotel,"Agent: i recommend leverton house phone 0122392094 <SEP> User: Ok, I guess we can book that one then. There will be 3 of us staying 4 nights, starting sunday. <SEP> Agent: Booking was successful. Reference number is : KXCIX1QH . Can I help with anything else today?","No, that'll be it. Thanks for the help.",general-thank,0
hotel,User: We need to find a guesthouse of moderate price. <SEP> Agent: I can help you with that. Do you have any special area you would like to stay? Or possibly a star request for the guesthouse?,I would like it to have a 3 star rating.,Hotel-Inform,0
hotel,"Agent: I am sorry, that hotel is not open for that booking. Should I try another hotel? <SEP> User: Yes, please. Something in the north, again. <SEP> Agent: Actually I was able to book Archway House for you after all. 2 Nights. Your reference number is MHAH7NWT . Do you need anything else?",Nope. I think I'm all set. Thank you kindly.,general-bye,0
hotel,Agent: Booking was successful. Reference number is : FNAJHEWG . <SEP> User: Thank you for your help <SEP> Agent: Is there anything else I can help you with?,"No, there's nothing more.",Hotel-Request,0
hotel,"Agent: Unfortunately I could not book that for you. Would you like to try another hotel? <SEP> User: Yes please find another hotel. <SEP> Agent: I was able to book you for the Worth house which meets all of your criteria, your reference number is RJUMPPNC","Thank you for your help, that is everything that I need.",general-thank,0
hotel,"Agent: I'm sorry there are no hotels that match that criteria. Would you like to try something with a different number of stars? <SEP> User: Can you try a 4 star hotel instead, please? <SEP> Agent: There are 5 guesthouse's that meet that criteria. Do you have a preference on the price range?",I don't care about the price range. Can you book it for 4 nights? There will be 7 of us and we will be arriving on Friday.,Hotel-Inform,0
hotel,"User: What is the phone number of the el shaddai? <SEP> Agent: Their phone number is 01223327978, would you like help booking a room? <SEP> User: That's not needed. Thank you!","Thank you, good day to you.",general-bye,1
hotel,"Agent: Do you prefer the north or east side of town? <SEP> User: No preference there. But I""d like it to be in the moderate range please <SEP> Agent: How about the Ashley hotel?",Does the Ashley hotel include free wifi?,Hotel-Inform,0
hotel,"Agent: Yes, I tried Sunday but it isn't available. Can you shorten your stay at all? <SEP> User: Yes, can you try it for 3 nights, please. <SEP> Agent: Neither hotel appears to have three days available starting on Sunday for three people, can I look something else up for you?","I may have been confusing you. Could you try and book a 4 star, expensive hotel for 3 nights, starting on Saturday? 3 people. Wifi please.",Hotel-Inform,0
hotel,"Agent: It is expensive and it has free parking. <SEP> User: Okay, great! What's the address and postcode for that place? <SEP> Agent: The address is 15-17 norman way, coldhams business park, and the postcode is cb13lh.",Can I have their phone number please?,Hotel-Request,0
